NewID,content,x1,y1,x2,y2,imageHeight,imageWidth,label
1.jpeg,http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/8186c3d1-e9d4-4550-8ec1-a062a7628787___0-26.jpg.jpeg,0.086153846,0.306306306,0.172307692,0.453453453,333,650,No Mask
2.jpeg,http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/8186c3d1-e9d4-4550-8ec1-a062a7628787___0-26.jpg.jpeg,0.583076923,0.291291291,0.658461538,0.468468468,333,650,No Mask
3.png,http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/d1c32c8e-8050-482d-a6c8-b101ccba5b65___0de0ee708a4a47039e441d488615ebb7.png,0.705308776,0.232604374,0.769230769,0.361829026,697,1280,No Mask
4.jpeg,http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/aaa5a997-b248-4724-9002-b29117725102___0rCMbYS7vkSINlu61.jpg.jpeg,0.469565217,0.05,0.606521739,0.333333333,240,460,No Mask
5.jpeg,http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/aaa5a997-b248-4724-9002-b29117725102___0rCMbYS7vkSINlu61.jpg.jpeg,0.62826087,0.008333333,0.745652174,0.308333333,240,460,No Mask
6.png,http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/c4efa88f-8218-4675-b5ce-30a03bf8b8f4___1.png,0.495,0.271477663,0.595,0.4604811,291,600,No Mask
7.jpeg,http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/dcc9b187-29fe-4734-83f4-3bc7ad117457___1f913f304d4265684fea960106d1132a_when-families-live-together_featuredImage.jpg.jpeg,0.55862069,0.199386503,0.660344828,0.377300613,326,580,No Mask
8.jpeg,http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/dcc9b187-29fe-4734-83f4-3bc7ad117457___1f913f304d4265684fea960106d1132a_when-families-live-together_featuredImage.jpg.jpeg,0.386206897,0.187116564,0.489655172,0.404907975,326,580,No Mask
9.jpeg,http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/dcc9b187-29fe-4734-83f4-3bc7ad117457___1f913f304d4265684fea960106d1132a_when-families-live-together_featuredImage.jpg.jpeg,0.172413793,0.23006135,0.277586207,0.441717791,326,580,No Mask
10.jpeg,http://com.dataturks.a96-i23.open.s3.amazonaws.com/2c9fafb064277d86016431e33e4e003d/dcc9b187-29fe-4734-83f4-3bc7ad117457___1f913f304d4265684fea960106d1132a_when-families-live-together_featuredImage.jpg.jpeg,0.715517241,0.199386503,0.844827586,0.414110429,326,580,No Mask
